platform,chr,bin_size,step_size
EPIC,1,4000,1000
EPIC,2,4000,1000
EPIC,3,4000,1000
EPIC,4,4000,1000
EPIC,5,4000,1000
EPIC,6,4000,1000
EPIC,7,4000,1000
EPIC,8,4000,1000
EPIC,9,4000,1000
EPIC,10,4000,1000
EPIC,11,4000,1000
EPIC,12,4000,1000
EPIC,13,4000,1000
EPIC,14,4000,1000
EPIC,15,4000,1000
EPIC,16,4000,1000
EPIC,17,4000,1000
EPIC,18,4000,1200
EPIC,19,4000,1000
EPIC,20,4000,1000
EPIC,21,4000,1000
EPIC,22,4000,1000
HM450,1,2000,610
HM450,2,2000,580
HM450,3,2000,560
HM450,4,2000,600
HM450,5,2000,580
HM450,6,2000,760
HM450,7,2000,710
HM450,8,2000,620
HM450,9,2000,400
HM450,10,2000,660
HM450,11,2000,660
HM450,12,2000,600
HM450,13,2000,630
HM450,14,2000,540
HM450,15,2000,560
HM450,16,2000,640
HM450,17,2000,680
HM450,18,2000,450
HM450,19,2000,720
HM450,20,2000,480
HM450,21,2000,400
HM450,22,2000,480
