platform,chr,bin_size,step_size
EPIC_V1,1,4000,1000
EPIC_V1,2,4000,1000
EPIC_V1,3,4000,1000
EPIC_V1,4,4000,1000
EPIC_V1,5,4000,1000
EPIC_V1,6,4000,1000
EPIC_V1,7,4000,1000
EPIC_V1,8,4000,1000
EPIC_V1,9,4000,1000
EPIC_V1,10,4000,1000
EPIC_V1,11,4000,1000
EPIC_V1,12,4000,1000
EPIC_V1,13,4000,1000
EPIC_V1,14,4000,1000
EPIC_V1,15,4000,1000
EPIC_V1,16,4000,1000
EPIC_V1,17,4000,1000
EPIC_V1,18,4000,1200
EPIC_V1,19,4000,1000
EPIC_V1,20,4000,1000
EPIC_V1,21,4000,1000
EPIC_V1,22,4000,1000
EPIC_V2,1,4000,1000
EPIC_V2,2,4000,1000
EPIC_V2,3,4000,1000
EPIC_V2,4,4000,1000
EPIC_V2,5,4000,1000
EPIC_V2,6,4000,1000
EPIC_V2,7,4000,1000
EPIC_V2,8,4000,1000
EPIC_V2,9,4000,1000
EPIC_V2,10,4000,1000
EPIC_V2,11,4000,1000
EPIC_V2,12,4000,1000
EPIC_V2,13,4000,1000
EPIC_V2,14,4000,1000
EPIC_V2,15,4000,1000
EPIC_V2,16,4000,1000
EPIC_V2,17,4000,1000
EPIC_V2,18,4000,1200
EPIC_V2,19,4000,1000
EPIC_V2,20,4000,1200
EPIC_V2,21,4000,1000
EPIC_V2,22,4000,1000
