platform,chr,bin_size,step_size
EPIC,1,8000,5000
EPIC,2,8000,5000
EPIC,3,8000,5000
EPIC,4,8000,5000
EPIC,5,8000,5000
EPIC,6,8000,5000
EPIC,7,8000,5000
EPIC,8,8000,5000
EPIC,9,8000,5000
EPIC,10,8000,5000
EPIC,11,8000,5000
EPIC,12,8000,5000
EPIC,13,8000,5000
EPIC,14,8000,5000
EPIC,15,8000,5000
EPIC,16,8000,5000
EPIC,17,8000,5000
EPIC,18,8000,5000
EPIC,19,8000,5000
EPIC,20,2000,1000
EPIC,21,8000,5000
EPIC,22,8000,5000
HM450,1,4000,3200
HM450,2,4000,3000
HM450,3,4000,3000
HM450,4,4000,3200
HM450,5,4000,3000
HM450,6,4000,3800
HM450,7,4000,3600
HM450,8,4000,3200
HM450,9,4000,2600
HM450,10,4000,3200
HM450,11,4000,3400
HM450,12,4000,3000
HM450,13,4000,3000
HM450,14,4000,3000
HM450,15,4000,3000
HM450,16,4000,3000
HM450,17,4000,3200
HM450,18,4000,1000
HM450,19,4000,3400
HM450,20,2000,480
HM450,21,4000,2400
HM450,22,4000,2400
